企业代号,企业名称,in_n_inv,in_n_void,in_void_share,in_neg_share,in_sum_amt,in_net_amt,in_sum_amt_pos,in_sum_tax,in_avg_inv,in_max_inv,in_n_counterpart,in_hhi,in_n_active_month,in_cv_month,in_growth,in_tax_ratio,in_inv_per_active_month,out_n_inv,out_n_void,out_void_share,out_neg_share,out_sum_amt,out_net_amt,out_sum_amt_pos,out_sum_tax,out_avg_inv,out_max_inv,out_n_counterpart,out_hhi,out_n_active_month,out_cv_month,out_growth,out_tax_ratio,out_inv_per_active_month,out_in_ratio
E124,个体经营E124 ,17411,2147,0.12331284819941417,0.019872494400091895,963062580.1,922278529.7,942670554.9,69902733.27,55313.45586698064,5504587.16,1422,0.026377345161177772,25,1.107467557836738,2.5175503114474913,0.07045359137377058,696.44,1293,194,0.1500386697602475,0.03248259860788863,955356734.44,885808734.04,920582734.24,79252874.41,738868.317432328,999999.99,54,0.0751739023640624,25,1.187534737657588,1.8624018431478595,0.082122088078179,51.72,0.9919986033937692
E125,个体经营E125 ,20288,2512,0.12381703470031545,0.020011829652996846,1145805127.49,1095904191.21,1120854659.35,81909037.87,56476.98775088722,5504587.16,1810,0.014123531005063746,36,0.8857262735285396,2.4435528494148393,0.06954331624716073,563.5555555555555,1595,215,0.13479623824451412,0.026959247648902823,1167535644.43,1097851721.69,1132693683.06,97253283.75,731997.2692351098,999999.99,64,0.055576559053238724,35,0.899802267857744,1.4939117572749938,0.08137635045231394,45.57142857142857,1.0189652816335382
E126,个体经营E126 ,533,18,0.03377110694183865,0.005628517823639775,117534044.08,117327184.0,117430614.04,16679156.64,220514.15399624765,999961.31,72,0.29851423831507967,36,0.9441169059852293,2.168254795395194,0.12446542872779098,14.805555555555555,1516,252,0.1662269129287599,0.021108179419525065,663361072.39,628834350.71,646097711.55,21474689.41,437573.2667480211,999296.12,149,0.0629404742846429,36,0.7986851346702702,1.6497734936165696,0.03302228338396976,42.111111111111114,5.643990875856196
E127,个体经营E127 ,1450,26,0.01793103448275862,0.001379310344827586,1734485.25,1732644.55,1733564.9,122128.39,1196.1967241379311,283018.87,297,0.05763353779582086,32,1.8133531129870317,2.261530615381223,0.06584546677718946,45.3125,4026,122,0.030303030303030304,0.0009935419771485345,699494895.4300001,696829699.3100001,698162297.37,20916973.24,173744.3853527074,999999.99,26,0.13393415934471478,36,0.9313916780648014,-0.12056696855439496,0.029142556893627217,111.83333333333333,403.28673618296847
E128,个体经营E128 ,3222,88,0.027312228429546864,0.004965859714463066,11061182.88,10302249.18,10681716.03,485790.7,3433.017653631285,359223.3,533,0.02723410109519435,31,1.3363801433223892,2.279073425094778,0.04503048796664255,103.93548387096774,1255,94,0.0749003984063745,0.0,255682870.46,255682870.46,255682870.46,8959492.66,203731.37088446217,970873.79,8,0.9467606014540079,33,1.573357807626739,0.7795915682335308,0.03385509619235598,38.03030303030303,23.11532801092246
E129,个体经营E129 ,6326,398,0.06291495415744547,0.004584255453683212,96033810.79,93519019.57,94776415.18,11293995.26,15180.811063863423,990709.4,1373,0.03738121786032367,36,1.049749876865425,-0.3149736492500309,0.10775374869540903,175.72222222222223,5817,636,0.10933470861268695,0.014956162970603403,380653435.41,368188407.63,374420921.52,56195406.35,65438.10132542548,99993.23,799,0.010800488216591611,36,0.7097771540048606,-0.026541541217583568,0.1324164694760209,161.58333333333334,3.96374393850085
E130,个体经营E130 ,3251,128,0.03937250076899416,0.005536757920639803,80914641.87,80095869.55,80505255.71000001,5444067.45,24889.15468163642,970873.79,520,0.04194635645294873,31,1.9030587585282446,99.46000486001451,0.06364357563181278,104.87096774193549,1382,61,0.04413892908827786,0.015195369030390739,118953187.55999999,115228113.72,117090650.64,10503788.41,86073.21820549927,99090.91,14,0.7428407896473296,22,2.1312069073124054,47.29613032531947,0.08354115568171115,62.81818181818182,1.4701070759370585
E131,个体经营E131 ,7077,550,0.07771654655927653,0.018369365550374453,127396543.49,123045721.43,125221132.46,15325354.94,18001.489824784512,909090.91,910,0.05616653865332015,36,1.243957178099601,0.2584713450215361,0.11075547970025522,196.58333333333334,3336,239,0.07164268585131894,0.01288968824940048,233617720.78,229133689.96,231375705.37,35843696.69,70029.2927997602,984957.26,826,0.009997575898371204,36,0.5573215301600208,0.25261555748548775,0.13527077590717115,92.66666666666667,1.8337838247419787
E132,个体经营E132 ,5159,109,0.021128125605737545,0.0019383601473153711,69517904.76,68486384.66,69002144.71,6552635.54,13475.073611164955,800884.96,682,0.07582568129119173,31,1.0245477526152567,0.9867739526649101,0.08732304236563046,166.41935483870967,1798,139,0.07730812013348165,0.004449388209121246,228460135.26,223393967.04,225927051.15,19660337.54,127063.47901001111,970873.79,99,0.025280921533655295,34,0.846465706143063,0.5894540272210944,0.0808886622023553,52.88235294117647,3.2863495533808718
E133,个体经营E133 ,1645,46,0.02796352583586626,0.0012158054711246201,41329731.02,41329044.92,41329387.97,1724534.19,25124.456547112462,970873.79,283,0.0678770851723176,32,1.616312110923634,1.4325226467610033,0.040055536047163255,51.40625,170,30,0.17647058823529413,0.01764705882352941,144819189.96,140158995.78,142489092.87,4204769.86,851877.5880000001,973902.91,9,0.5178523224552316,20,1.950134748990616,1.0547643945021032,0.029126213502115465,8.5,3.503995462489705
