rate,A,B,C
0.04,0.0,0.0,0.0
0.0425,0.0945741262057566,0.0667995833242854,0.0687253064883727
0.0465,0.135727183124787,0.135052059550382,0.122099028926699
0.0505,0.224603353581977,0.206580080013208,0.181252146310439
0.0545,0.302038101589586,0.276812293245122,0.263302863236199
0.0585,0.347315668091994,0.302883401074081,0.290189098264871
0.0625,0.41347176997734,0.370215852076908,0.349715590094521
0.0665,0.44789097258475,0.406296668196528,0.390771682776531
0.0705,0.497634453435344,0.458295294950834,0.457238069777737
0.0745,0.511096611982035,0.508718691669863,0.492660433100353
0.0785,0.573393086968699,0.544408836888372,0.513660238519387
0.0825,0.609492114638487,0.548493957592387,0.53024870562998
0.0865,0.652944773638275,0.588765696081734,0.58776240816814
0.0905,0.667541842695405,0.625764575898251,0.590097044735418
0.0945,0.694779920760969,0.635605146297822,0.642993655597024
0.0985,0.708302023264193,0.673527424120319,0.658839415753347
0.1025,0.731275401311664,0.696925430878578,0.696870573132124
0.1065,0.775091404985868,0.705315992511251,0.719103552394064
0.1105,0.798227367649763,0.74293632626681,0.71110123661152
0.1145,0.790527266424128,0.776400728768043,0.75062765613264
0.1185,0.815196986470174,0.762022595008955,0.776816043228816
0.1225,0.814421028872806,0.7915036971307,0.784480512059831
0.1265,0.854811096860206,0.814998932530095,0.795566274140749
0.1305,0.870317343278494,0.82229786149515,0.820051433645947
0.1345,0.871428085424653,0.835301602280488,0.832288421505973
0.1385,0.885925945175939,0.845747745401636,0.844089875386012
0.1425,0.874434681686885,0.842070843722875,0.836974325775867
0.1465,0.902725908629956,0.868159535589987,0.872558957311371
0.15,0.922060686952494,0.885864918999995,0.895164738662031
