param,variant,n_lend,allocated,profit,d_profit,d_n_lend
turnover_ratio,低 0.15,12,10000.0,354.0211112425551,-1.7378921881149267,0
turnover_ratio,高 0.35,11,10000.0,357.4366037895294,1.6776003588593653,-1
churn_scale,低 0.5×,12,10000.0,776.8436952961938,421.0846918655238,0
churn_scale,高 1.5×,12,10000.0,346.9596323102029,-8.799371120467129,0
tier_shift,低 −20%,12,10000.0,355.75900343067,0.0,0
tier_shift,高 +20%,12,10000.0,355.75900343067,0.0,0
recovery,低 0,12,10000.0,355.75900343067,0.0,0
recovery,高 0.4,12,10000.0,373.39029111965385,17.631287688983832,0
total_wan,低 8000,10,8000.0,289.75954243076,-65.99946099991001,-2
total_wan,高 12000,14,12000.0,420.79307054916285,65.03406711849283,2
shock_scale,低 0.5×,12,10000.0,351.883213344759,3.9014236167912486,0
shock_scale,高 1.5×,12,10000.0,344.2070502378168,-3.774739490150921,0
